skills,major,education_level,pay,location
"Apache Hadoop, Data Science, Big Data, Apache Spark, Big Data Analytics",Computer Science,Bachelor's degree,,Pennsylvania
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,,Colorado
Big Data,Computer Science,Bachelor's degree|Master's degree,,New Jersey
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree,,Tennessee
Transformer (Machine Learning Model),Computer Science,No Education Listed,,California
Data Manipulation,Computer Science,No Education Listed,,South Dakota
Data Manipulation,Computer Science,Bachelor's degree,,Texas
Data Science,Computer Science,Master's degree,130395.0,Texas
"Data Science, Machine Learning Algorithms",Computer Science,No Education Listed,152500.0,New York
Data Engineering,Computer Science,No Education Listed,79915.0,Pennsylvania
"Data Science, Machine Learning",Computer Science,Bachelor's degree,130000.0,Utah
Machine Learning,Computer Science,Bachelor's degree,,Colorado
Big Data,Computer Science,Bachelor's degree,,Massachusetts
Machine Learning,Computer Science,High school or GED,22880.0,Washington
Data Manipulation,Computer Science,Bachelor's degree|Master's degree,,Pennsylvania
Splunk,Computer Science,No Education Listed,,Missouri
Data Manipulation,Computer Science,Bachelor's degree,,Texas
Big Data,Computer Science,No Education Listed,,North Carolina
Data Manipulation,Computer Science,Bachelor's degree,,Virginia
Artificial Intelligence,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Virginia
"Apache Hadoop, Big Data, Machine Learning",Computer Science,No Education Listed,,Oregon
"Apache Hadoop, Big Data, Data Science, Machine Learning",Computer Science,Ph.D. or professional degree,,California
Data Manipulation,Computer Science,Bachelor's degree,,Massachusetts
Big Data,Computer Science,No Education Listed,150000.0,California
Data Manipulation,Computer Science,Bachelor's degree,,Texas
Big Data,Computer Science,Bachelor's degree,,Connecticut
Machine Learning,Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Massachusetts
"Metadata Management, Big Data, Metadata",Computer Science,No Education Listed,,Colorado
"Apache Hadoop, Machine Learning",Computer Science,Bachelor's degree|Master's degree,,New York
Metadata,Computer Science,High school or GED,31200.0,Georgia
"Apache Hadoop, Big Data, Apache Spark, Machine Learning, Metadata, Big Data Analytics",Computer Science,Master's degree,,California
Data Engineering,Computer Science,No Education Listed,,Kentucky
Metadata,Computer Science,Bachelor's degree,,Georgia
"Apache Hadoop, Big Data",Computer Science,Bachelor's degree,114400.0,Oregon
"Apache Hadoop, Machine Learning Methods, Apache Spark, Machine Learning",Computer Science,Bachelor's degree|Master's degree|Ph.D. or professional degree,,Washington
